destination,hour,proportion
BGU,0,0.0
BGU,1,5.7e-05
BGU,2,0.0
BGU,3,0.0
BGU,4,0.000142
BGU,5,0.00464
BGU,6,0.006549
BGU,7,0.052048
BGU,8,0.177349
BGU,9,0.166407
BGU,10,0.124696
BGU,11,0.086341
BGU,12,0.082523
BGU,13,0.075795
BGU,14,0.06215
BGU,15,0.035294
BGU,16,0.042457
BGU,17,0.029955
BGU,18,0.026374
BGU,19,0.016792
BGU,20,0.006076
BGU,21,0.002655
BGU,22,0.000822
BGU,23,0.000879
Soroka Hospital,0,0.000163
Soroka Hospital,1,0.001143
Soroka Hospital,2,0.001402
Soroka Hospital,3,0.001124
Soroka Hospital,4,0.001277
Soroka Hospital,5,0.003947
Soroka Hospital,6,0.0365
Soroka Hospital,7,0.154393
Soroka Hospital,8,0.147748
Soroka Hospital,9,0.097112
Soroka Hospital,10,0.074287
Soroka Hospital,11,0.069677
Soroka Hospital,12,0.051797
Soroka Hospital,13,0.054351
Soroka Hospital,14,0.060526
Soroka Hospital,15,0.039448
Soroka Hospital,16,0.042185
Soroka Hospital,17,0.036001
Soroka Hospital,18,0.033494
Soroka Hospital,19,0.038315
Soroka Hospital,20,0.022336
Soroka Hospital,21,0.009603
Soroka Hospital,22,0.019551
Soroka Hospital,23,0.00362
Gav Yam,0,0.0
Gav Yam,1,0.0
Gav Yam,2,0.0
Gav Yam,3,0.0
Gav Yam,4,0.000692
Gav Yam,5,0.006693
Gav Yam,6,0.024372
Gav Yam,7,0.090842
Gav Yam,8,0.194609
Gav Yam,9,0.123615
Gav Yam,10,0.068962
Gav Yam,11,0.032958
Gav Yam,12,0.036374
Gav Yam,13,0.036928
Gav Yam,14,0.032081
Gav Yam,15,0.039374
Gav Yam,16,0.06527
Gav Yam,17,0.073855
Gav Yam,18,0.044775
Gav Yam,19,0.038359
Gav Yam,20,0.041405
Gav Yam,21,0.036051
Gav Yam,22,0.006924
Gav Yam,23,0.005862
